Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
1.11E-10	1.11E-10	1.87E-14	5.00E-01	H2PCO + 3 PT(S) <=> H2PCO(S) + 3 PT(B)
1.03E-12	1.02E-12	2.70E-15	5.01E-01	H4PCO + 4 PT(S) <=> H4PCO(S) + 4 PT(B)
4.26E-09	4.26E-09	-2.26E-14	5.00E-01	H234PCO + 3 PT(S) <=> H234PCO(S) + 3 PT(B)
7.94E-09	7.94E-09	-4.95E-14	5.00E-01	H236PCO + 3 PT(S) <=> H236PCO(S) + 3 PT(B)
6.50E-07	6.41E-07	8.30E-09	5.03E-01	MCHO(S) + 3 PT(B) <=> MCHO + 3 PT(S)
1.41E-06	1.32E-06	8.94E-08	5.16E-01	PCOH + 5 PT(S) <=> PCOH(S) + 5 PT(B)
7.73E-15	7.72E-15	4.17E-18	5.00E-01	H12PCOH + 4 PT(S) <=> H12PCOH(S) + 4 PT(B)
1.71E-16	1.71E-16	1.29E-19	5.00E-01	H14PCOH + 4 PT(S) <=> H14PCOH(S) + 4 PT(B)
2.85E-14	2.85E-14	-1.73E-19	5.00E-01	H16PCOH + 3 PT(S) <=> H16PCOH(S) + 3 PT(B)
1.49E-14	1.79E-14	-3.00E-15	4.54E-01	H23PCOH + 5 PT(S) <=> H23PCOH(S) + 5 PT(B)
1.43E-14	1.70E-14	-2.76E-15	4.56E-01	H25PCOH + 5 PT(S) <=> H25PCOH(S) + 5 PT(B)
6.14E-14	6.14E-14	-2.30E-19	5.00E-01	H34PCOH + 3 PT(S) <=> H34PCOH(S) + 3 PT(B)
1.49E-13	1.49E-13	7.15E-17	5.00E-01	H36PCOH + 4 PT(S) <=> H36PCOH(S) + 4 PT(B)
1.46E-13	1.46E-13	-5.45E-19	5.00E-01	H45PCOH + 3 PT(S) <=> H45PCOH(S) + 3 PT(B)
1.85E-12	1.85E-12	2.14E-17	5.00E-01	H56PCOH + 3 PT(S) <=> H56PCOH(S) + 3 PT(B)
1.27E-11	1.27E-11	-3.02E-17	5.00E-01	H1234PCOH + 3 PT(S) <=> H1234PCOH(S) + 3 PT(B)
3.53E-10	3.53E-10	-1.40E-15	5.00E-01	H1236PCOH + 3 PT(S) <=> H1236PCOH(S) + 3 PT(B)
2.58E-10	2.58E-10	-1.02E-15	5.00E-01	H1256PCOH + 3 PT(S) <=> H1256PCOH(S) + 3 PT(B)
7.86E-13	7.86E-13	-3.17E-16	5.00E-01	H1456PCOH + 4 PT(S) <=> H1456PCOH(S) + 4 PT(B)
2.02E-09	2.02E-09	-6.23E-15	5.00E-01	H2345PCOH + 3 PT(S) <=> H2345PCOH(S) + 3 PT(B)
9.85E-10	9.85E-10	-3.04E-15	5.00E-01	H3456PCOH + 3 PT(S) <=> H3456PCOH(S) + 3 PT(B)
1.61E-07	1.57E-07	3.83E-09	5.06E-01	MCHOH(S) + 3 PT(B) <=> MCHOH + 3 PT(S)
2.23E-06	2.31E-06	-7.72E-08	4.92E-01	TOL + 4 PT(S) <=> TOL(S) + 4 PT(B)
3.60E-13	3.60E-13	-2.08E-17	5.00E-01	H12TOL + 3 PT(S) <=> H12TOL(S) + 3 PT(B)
4.97E-16	5.01E-16	-4.11E-18	4.98E-01	H14TOL + 4 PT(S) <=> H14TOL(S) + 4 PT(B)
2.65E-14	2.65E-14	-3.90E-17	5.00E-01	H23TOL + 4 PT(S) <=> H23TOL(S) + 4 PT(B)
5.38E-13	5.38E-13	-3.25E-17	5.00E-01	H25TOL + 3 PT(S) <=> H25TOL(S) + 3 PT(B)
4.35E-15	4.35E-15	-4.22E-18	5.00E-01	H34TOL + 4 PT(S) <=> H34TOL(S) + 4 PT(B)
1.61E-10	1.61E-10	-8.90E-15	5.00E-01	H1234TOL + 3 PT(S) <=> H1234TOL(S) + 3 PT(B)
1.09E-09	1.09E-09	-6.06E-14	5.00E-01	H1236TOL + 3 PT(S) <=> H1236TOL(S) + 3 PT(B)
2.63E-10	2.63E-10	-1.45E-14	5.00E-01	H2345TOL + 3 PT(S) <=> H2345TOL(S) + 3 PT(B)
2.05E-06	2.05E-06	-1.14E-10	5.00E-01	MCH + 3 PT(S) <=> MCH(S) + 3 PT(B)
3.80E+00	3.80E+00	1.06E-07	5.00E-01	H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
1.97E-02	1.97E-02	-7.73E-08	5.00E-01	H2O + PT(S) <=> H2O(S) + PT(B)
9.22E-08	9.34E-08	-1.21E-09	4.97E-01	MCHOH(S) + PT(S) <=> H12345PCOH(S) + H(S) + PT(B)
4.95E-08	5.01E-08	-6.50E-10	4.97E-01	MCHOH(S) + PT(S) <=> H12346PCOH(S) + H(S) + PT(B)
3.00E-09	3.04E-09	-3.98E-11	4.97E-01	MCHOH(S) + PT(S) <=> H12356PCOH(S) + H(S) + PT(B)
2.22E-08	2.25E-08	-2.81E-10	4.97E-01	MCHOH(S) + PT(S) <=> H12456PCOH(S) + H(S) + PT(B)
5.47E-08	5.55E-08	-7.32E-10	4.97E-01	MCHOH(S) + PT(S) <=> H13456PCOH(S) + H(S) + PT(B)
