Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
3.87E-35	0.00E+00	3.87E-35	1.00E+00	O2 + 2 H2 <=> 2 H2O
5.39E-36	0.00E+00	5.39E-36	1.00E+00	O2 + 2 CO <=> 2 CO2
2.12E+00	2.12E+00	5.48E-06	5.00E-01	CH3CH2OH + PT(S) <=> CH3CH2OH(S) + PT(B)
3.52E-03	3.52E-03	-1.67E-08	5.00E-01	CH3CHO + 2 PT(S) <=> CH3CHO(S) + 2 PT(B)
9.01E-08	1.08E-07	-1.84E-08	4.54E-01	CH3CH3 + 2 PT(S) <=> CH3CH2(S) + H(S) + 2 PT(B)
8.11E-08	8.11E-08	-3.00E-13	5.00E-01	CH2CH2 + 2 PT(S) <=> CH2CH2(S) + 2 PT(B)
5.03E-16	5.03E-16	-1.79E-21	5.00E-01	CHCH + 2 PT(S) <=> CHCH(S) + 2 PT(B)
7.71E-07	7.71E-07	-1.34E-12	5.00E-01	CH3OH + PT(S) <=> CH3OH(S) + PT(B)
5.53E-08	5.53E-08	-2.15E-13	5.00E-01	CH2O + 2 PT(S) <=> CH2O(S) + 2 PT(B)
4.85E-06	1.03E-05	-5.44E-06	3.20E-01	CH4 + 2 PT(S) <=> CH3(S) + H(S) + 2 PT(B)
8.00E+00	8.00E+00	-7.94E-06	5.00E-01	H2 + 2 PT(S) <=> 2 H(S) + 2 PT(B)
1.14E-29	0.00E+00	1.14E-29	1.00E+00	O2 + 2 PT(S) <=> 2 O(S) + 2 PT(B)
1.85E+00	1.85E+00	-2.95E-06	5.00E-01	CO + PT(S) <=> CO(S) + PT(B)
1.21E+00	1.21E+00	-2.50E-06	5.00E-01	CO2 + PT(S) <=> CO2(S) + PT(B)
2.10E+01	2.10E+01	2.48E-06	5.00E-01	H2O + PT(S) <=> H2O(S) + PT(B)
4.77E-06	2.96E-09	4.77E-06	9.99E-01	CH3CH2OH(S) + PT(S) <=> CH3CHOH(S) + H(S) + PT(B)
2.26E-05	1.80E-05	4.62E-06	5.57E-01	CH3CHOH(S) + PT(S) <=> CH3COH(S) + H(S) + PT(B)
