Species_name	Phase	Surf_cov	O	H	C	HE	PT
CH3CH2OH	Gas	0	1	6	2	0	0
CH3CHO	Gas	0	1	4	2	0	0
CH3CH3	Gas	0	0	6	2	0	0
CH2CH2	Gas	0	0	4	2	0	0
CHCH	Gas	0	0	2	2	0	0
CH3OH	Gas	0	1	4	1	0	0
CH2O	Gas	0	1	2	1	0	0
CH4	Gas	0	0	4	1	0	0
H2	Gas	0	0	2	0	0	0
O2	Gas	0	2	0	0	0	0
CO	Gas	0	1	0	1	0	0
CO2	Gas	0	2	0	1	0	0
H2O	Gas	0	1	2	0	0	0
HE	Gas	0	0	0	0	1	0
CH3CH2OH(S)	Surface	9.93499E-07	1	6	2	0	0
CH3CHOH(S)	Surface	1.40292E-07	1	5	2	0	0
CH3COH(S)	Surface	4.49083E-05	1	4	2	0	0
CH2CH2OH(S)	Surface	1.12195E-12	1	5	2	0	0
CH2CHOH(S)	Surface	9.72958E-08	1	4	2	0	0
CH2COH(S)	Surface	1.6092E-05	1	3	2	0	0
CHCH2OH(S)	Surface	3.48731E-14	1	4	2	0	0
CHCHOH(S)	Surface	9.90914E-08	1	3	2	0	0
CHCOH(S)	Surface	7.0759E-07	1	2	2	0	0
CCH2OH(S)	Surface	6.11915E-08	1	3	2	0	0
CCHOH(S)	Surface	9.18957E-08	1	2	2	0	0
CCOH(S)	Surface	1.03187E-12	1	1	2	0	0
CH3CH2O(S)	Surface	1.72124E-13	1	5	2	0	0
CH3CHO(S)	Surface	1.47612E-10	1	4	2	0	0
CH3CO(S)	Surface	0.0008695	1	3	2	0	0
CH2CH2O(S)	Surface	7.249E-16	1	4	2	0	0
CH2CHO(S)	Surface	1.35533E-11	1	3	2	0	0
CH2CO(S)	Surface	0.000137495	1	2	2	0	0
CHCH2O(S)	Surface	3.56982E-16	1	3	2	0	0
CHCHO(S)	Surface	1.21812E-10	1	2	2	0	0
CHCO(S)	Surface	9.28669E-05	1	1	2	0	0
CCH2O(S)	Surface	1.42405E-16	1	2	2	0	0
CCHO(S)	Surface	4.52788E-08	1	1	2	0	0
CCO(S)	Surface	5.71552E-08	1	0	2	0	0
CH3CH2(S)	Surface	4.28558E-08	0	5	2	0	0
CH3CH(S)	Surface	6.33928E-10	0	4	2	0	0
CH3C(S)	Surface	9.00073E-05	0	3	2	0	0
CH2CH2(S)	Surface	4.10646E-08	0	4	2	0	0
CH2CH(S)	Surface	1.10248E-08	0	3	2	0	0
CH2C(S)	Surface	7.79557E-12	0	2	2	0	0
CHCH(S)	Surface	1.71548E-08	0	2	2	0	0
CHC(S)	Surface	1.03946E-13	0	1	2	0	0
CC(S)	Surface	9.08639E-14	0	0	2	0	0
CH3OH(S)	Surface	1.9589E-13	1	4	1	0	0
CH2OH(S)	Surface	1.94588E-11	1	3	1	0	0
CHOH(S)	Surface	1.29203E-09	1	2	1	0	0
COH(S)	Surface	0.000531904	1	1	1	0	0
CH3O(S)	Surface	4.53127E-18	1	3	1	0	0
CH2O(S)	Surface	4.98212E-14	1	2	1	0	0
CHO(S)	Surface	1.0268E-07	1	1	1	0	0
CO(S)	Surface	0.291686126	1	0	1	0	0
CH3(S)	Surface	2.70478E-07	0	3	1	0	0
CH2(S)	Surface	9.5279E-07	0	2	1	0	0
CH(S)	Surface	0.000882534	0	1	1	0	0
C(S)	Surface	6.8012E-07	0	0	1	0	0
H2O(S)	Surface	3.95509E-05	1	2	0	0	0
OH(S)	Surface	6.27736E-12	1	1	0	0	0
O(S)	Surface	1.20914E-11	1	0	0	0	0
H(S)	Surface	0.275319902	0	1	0	0	0
CO2(S)	Surface	1.25617E-10	2	0	1	0	0
COOH(S)	Surface	1.68521E-09	2	1	1	0	0
CHOO(S)	Surface	3.2117E-15	2	1	1	0	0
PT(S)	Surface	0.430284697	0	0	0	0	1
PT(B)	Surface	0	0	0	0	0	1
