Species_name	Phase	Surf_cov	O	H	C	PT	N
PCOH	Gas	0	1	8	7	0	0
MCHOH	Gas	0	1	14	7	0	0
MCH	Gas	0	0	14	7	0	0
TOL	Gas	0	0	8	7	0	0
MCHO	Gas	0	1	12	7	0	0
H2	Gas	0	0	2	0	0	0
H2O	Gas	0	1	2	0	0	0
N2	Gas	0	0	0	0	0	2
H234PCO	Gas	0	1	10	7	0	0
H236PCO	Gas	0	1	10	7	0	0
H2PCO	Gas	0	1	8	7	0	0
H4PCO	Gas	0	1	8	7	0	0
H1234PCOH	Gas	0	1	12	7	0	0
H1236PCOH	Gas	0	1	12	7	0	0
H1256PCOH	Gas	0	1	12	7	0	0
H12PCOH	Gas	0	1	10	7	0	0
H1456PCOH	Gas	0	1	12	7	0	0
H14PCOH	Gas	0	1	10	7	0	0
H16PCOH	Gas	0	1	10	7	0	0
H2345PCOH	Gas	0	1	12	7	0	0
H23PCOH	Gas	0	1	10	7	0	0
H25PCOH	Gas	0	1	10	7	0	0
H3456PCOH	Gas	0	1	12	7	0	0
H34PCOH	Gas	0	1	10	7	0	0
H36PCOH	Gas	0	1	10	7	0	0
H45PCOH	Gas	0	1	10	7	0	0
H56PCOH	Gas	0	1	10	7	0	0
H1234TOL	Gas	0	0	12	7	0	0
H1236TOL	Gas	0	0	12	7	0	0
H12TOL	Gas	0	0	10	7	0	0
H14TOL	Gas	0	0	10	7	0	0
H2345TOL	Gas	0	0	12	7	0	0
H23TOL	Gas	0	0	10	7	0	0
H25TOL	Gas	0	0	10	7	0	0
H34TOL	Gas	0	0	10	7	0	0
PCO(S)	Surface	1.43759E-06	1	7	7	0	0
H2PCO(S)	Surface	3.18164E-10	1	8	7	0	0
H3PCO(S)	Surface	2.0275E-07	1	8	7	0	0
H4PCO(S)	Surface	3.74882E-09	1	8	7	0	0
H23PCO(S)	Surface	1.10098E-10	1	9	7	0	0
H24PCO(S)	Surface	5.65539E-09	1	9	7	0	0
H25PCO(S)	Surface	1.01111E-08	1	9	7	0	0
H26PCO(S)	Surface	2.46948E-12	1	9	7	0	0
H34PCO(S)	Surface	0.001017997	1	9	7	0	0
H35PCO(S)	Surface	0.050824489	1	9	7	0	0
H234PCO(S)	Surface	0.00031198	1	10	7	0	0
H235PCO(S)	Surface	4.88886E-06	1	10	7	0	0
H236PCO(S)	Surface	2.7311E-05	1	10	7	0	0
H245PCO(S)	Surface	4.14709E-05	1	10	7	0	0
H246PCO(S)	Surface	1.64625E-06	1	10	7	0	0
H345PCO(S)	Surface	0.00097596	1	10	7	0	0
H2345PCO(S)	Surface	3.32832E-06	1	11	7	0	0
H2346PCO(S)	Surface	2.60468E-07	1	11	7	0	0
H2356PCO(S)	Surface	6.48217E-06	1	11	7	0	0
MCHO(S)	Surface	1.17481E-06	1	12	7	0	0
PCOH(S)	Surface	2.22683E-06	1	8	7	0	0
H1PCOH(S)	Surface	1.43731E-08	1	9	7	0	0
H2PCOH(S)	Surface	2.47015E-08	1	9	7	0	0
H3PCOH(S)	Surface	3.79837E-07	1	9	7	0	0
H4PCOH(S)	Surface	7.24858E-09	1	9	7	0	0
H5PCOH(S)	Surface	1.14835E-08	1	9	7	0	0
H6PCOH(S)	Surface	1.14966E-07	1	9	7	0	0
H12PCOH(S)	Surface	3.79197E-09	1	10	7	0	0
H13PCOH(S)	Surface	2.94398E-08	1	10	7	0	0
H14PCOH(S)	Surface	2.96244E-12	1	10	7	0	0
H15PCOH(S)	Surface	8.95833E-08	1	10	7	0	0
H16PCOH(S)	Surface	7.80014E-09	1	10	7	0	0
H23PCOH(S)	Surface	6.88599E-10	1	10	7	0	0
H24PCOH(S)	Surface	9.42989E-08	1	10	7	0	0
H25PCOH(S)	Surface	5.55355E-10	1	10	7	0	0
H26PCOH(S)	Surface	9.3927E-08	1	10	7	0	0
H34PCOH(S)	Surface	6.38571E-08	1	10	7	0	0
H35PCOH(S)	Surface	7.3217E-07	1	10	7	0	0
H36PCOH(S)	Surface	1.23686E-08	1	10	7	0	0
