Species_name	Phase	Surf_cov	O	H	C	PT	N
PCOH	Gas	0	1	8	7	0	0
MCHOH	Gas	0	1	14	7	0	0
MCH	Gas	0	0	14	7	0	0
TOL	Gas	0	0	8	7	0	0
MCHO	Gas	0	1	12	7	0	0
H2	Gas	0	0	2	0	0	0
H2O	Gas	0	1	2	0	0	0
N2	Gas	0	0	0	0	0	2
H234PCO	Gas	0	1	10	7	0	0
H236PCO	Gas	0	1	10	7	0	0
H2PCO	Gas	0	1	8	7	0	0
H4PCO	Gas	0	1	8	7	0	0
H1234PCOH	Gas	0	1	12	7	0	0
H1236PCOH	Gas	0	1	12	7	0	0
H1256PCOH	Gas	0	1	12	7	0	0
H12PCOH	Gas	0	1	10	7	0	0
H1456PCOH	Gas	0	1	12	7	0	0
H14PCOH	Gas	0	1	10	7	0	0
H16PCOH	Gas	0	1	10	7	0	0
H2345PCOH	Gas	0	1	12	7	0	0
H23PCOH	Gas	0	1	10	7	0	0
H25PCOH	Gas	0	1	10	7	0	0
H3456PCOH	Gas	0	1	12	7	0	0
H34PCOH	Gas	0	1	10	7	0	0
H36PCOH	Gas	0	1	10	7	0	0
H45PCOH	Gas	0	1	10	7	0	0
H56PCOH	Gas	0	1	10	7	0	0
H1234TOL	Gas	0	0	12	7	0	0
H1236TOL	Gas	0	0	12	7	0	0
H12TOL	Gas	0	0	10	7	0	0
H14TOL	Gas	0	0	10	7	0	0
H2345TOL	Gas	0	0	12	7	0	0
H23TOL	Gas	0	0	10	7	0	0
H25TOL	Gas	0	0	10	7	0	0
H34TOL	Gas	0	0	10	7	0	0
PCO(S)	Surface	1.4879E-06	1	7	7	0	0
H2PCO(S)	Surface	3.40777E-10	1	8	7	0	0
H3PCO(S)	Surface	2.41694E-07	1	8	7	0	0
H4PCO(S)	Surface	3.85551E-09	1	8	7	0	0
H23PCO(S)	Surface	1.49551E-10	1	9	7	0	0
H24PCO(S)	Surface	6.55943E-09	1	9	7	0	0
H25PCO(S)	Surface	1.30114E-08	1	9	7	0	0
H26PCO(S)	Surface	3.4581E-12	1	9	7	0	0
H34PCO(S)	Surface	0.001089756	1	9	7	0	0
H35PCO(S)	Surface	0.054255452	1	9	7	0	0
H234PCO(S)	Surface	0.000346521	1	10	7	0	0
H235PCO(S)	Surface	5.23546E-06	1	10	7	0	0
H236PCO(S)	Surface	3.03734E-05	1	10	7	0	0
H245PCO(S)	Surface	4.60126E-05	1	10	7	0	0
H246PCO(S)	Surface	1.83222E-06	1	10	7	0	0
H345PCO(S)	Surface	0.001043597	1	10	7	0	0
H2345PCO(S)	Surface	3.56758E-06	1	11	7	0	0
H2346PCO(S)	Surface	2.89838E-07	1	11	7	0	0
H2356PCO(S)	Surface	7.4622E-06	1	11	7	0	0
MCHO(S)	Surface	1.41061E-06	1	12	7	0	0
PCOH(S)	Surface	2.24327E-06	1	8	7	0	0
H1PCOH(S)	Surface	1.52751E-08	1	9	7	0	0
H2PCOH(S)	Surface	2.50183E-08	1	9	7	0	0
H3PCOH(S)	Surface	4.40426E-07	1	9	7	0	0
H4PCOH(S)	Surface	7.25162E-09	1	9	7	0	0
H5PCOH(S)	Surface	1.28425E-08	1	9	7	0	0
H6PCOH(S)	Surface	1.15596E-07	1	9	7	0	0
H12PCOH(S)	Surface	4.65366E-09	1	10	7	0	0
H13PCOH(S)	Surface	4.06204E-08	1	10	7	0	0
H14PCOH(S)	Surface	3.57528E-12	1	10	7	0	0
H15PCOH(S)	Surface	1.23638E-07	1	10	7	0	0
H16PCOH(S)	Surface	1.08327E-08	1	10	7	0	0
H23PCOH(S)	Surface	8.35932E-10	1	10	7	0	0
H24PCOH(S)	Surface	1.08586E-07	1	10	7	0	0
H25PCOH(S)	Surface	6.60694E-10	1	10	7	0	0
H26PCOH(S)	Surface	1.30584E-07	1	10	7	0	0
H34PCOH(S)	Surface	8.84181E-08	1	10	7	0	0
H35PCOH(S)	Surface	1.01095E-06	1	10	7	0	0
H36PCOH(S)	Surface	1.52546E-08	1	10	7	0	0
