Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
1.29E-10	1.29E-10	2.29E-14	5.00E-01	H2PCO + 3 PT(S) <=> H2PCO(S) + 3 PT(B)
1.25E-12	1.24E-12	4.95E-15	5.01E-01	H4PCO + 4 PT(S) <=> H4PCO(S) + 4 PT(B)
3.82E-09	3.83E-09	-8.68E-12	4.99E-01	H234PCO + 3 PT(S) <=> H234PCO(S) + 3 PT(B)
7.12E-09	7.14E-09	-1.63E-11	4.99E-01	H236PCO + 3 PT(S) <=> H236PCO(S) + 3 PT(B)
5.41E-07	3.94E-07	1.47E-07	5.78E-01	MCHO(S) + 3 PT(B) <=> MCHO + 3 PT(S)
1.93E-06	1.66E-06	2.65E-07	5.37E-01	PCOH + 5 PT(S) <=> PCOH(S) + 5 PT(B)
7.67E-15	7.86E-15	-1.94E-16	4.94E-01	H12PCOH + 4 PT(S) <=> H12PCOH(S) + 4 PT(B)
1.73E-16	1.77E-16	-3.97E-18	4.94E-01	H14PCOH + 4 PT(S) <=> H14PCOH(S) + 4 PT(B)
2.56E-14	2.56E-14	-5.83E-17	4.99E-01	H16PCOH + 3 PT(S) <=> H16PCOH(S) + 3 PT(B)
7.31E-15	1.85E-14	-1.12E-14	2.83E-01	H23PCOH + 5 PT(S) <=> H23PCOH(S) + 5 PT(B)
7.12E-15	1.79E-14	-1.07E-14	2.85E-01	H25PCOH + 5 PT(S) <=> H25PCOH(S) + 5 PT(B)
5.53E-14	5.54E-14	-1.25E-16	4.99E-01	H34PCOH + 3 PT(S) <=> H34PCOH(S) + 3 PT(B)
1.47E-13	1.51E-13	-3.82E-15	4.94E-01	H36PCOH + 4 PT(S) <=> H36PCOH(S) + 4 PT(B)
1.31E-13	1.31E-13	-2.96E-16	4.99E-01	H45PCOH + 3 PT(S) <=> H45PCOH(S) + 3 PT(B)
1.71E-12	1.71E-12	-3.39E-15	5.00E-01	H56PCOH + 3 PT(S) <=> H56PCOH(S) + 3 PT(B)
1.14E-11	1.14E-11	-2.61E-14	4.99E-01	H1234PCOH + 3 PT(S) <=> H1234PCOH(S) + 3 PT(B)
3.17E-10	3.18E-10	-7.30E-13	4.99E-01	H1236PCOH + 3 PT(S) <=> H1236PCOH(S) + 3 PT(B)
2.32E-10	2.33E-10	-5.34E-13	4.99E-01	H1256PCOH + 3 PT(S) <=> H1256PCOH(S) + 3 PT(B)
7.05E-13	7.34E-13	-2.93E-14	4.90E-01	H1456PCOH + 4 PT(S) <=> H1456PCOH(S) + 4 PT(B)
1.82E-09	1.82E-09	-4.16E-12	4.99E-01	H2345PCOH + 3 PT(S) <=> H2345PCOH(S) + 3 PT(B)
8.86E-10	8.88E-10	-2.03E-12	4.99E-01	H3456PCOH + 3 PT(S) <=> H3456PCOH(S) + 3 PT(B)
1.34E-07	8.61E-08	4.79E-08	6.09E-01	MCHOH(S) + 3 PT(B) <=> MCHOH + 3 PT(S)
3.69E-07	4.36E-07	-6.74E-08	4.58E-01	TOL + 4 PT(S) <=> TOL(S) + 4 PT(B)
3.60E-13	3.61E-13	-4.64E-16	5.00E-01	H12TOL + 3 PT(S) <=> H12TOL(S) + 3 PT(B)
4.39E-16	4.50E-16	-1.02E-17	4.94E-01	H14TOL + 4 PT(S) <=> H14TOL(S) + 4 PT(B)
2.67E-14	2.74E-14	-7.38E-16	4.93E-01	H23TOL + 4 PT(S) <=> H23TOL(S) + 4 PT(B)
5.39E-13	5.39E-13	-6.88E-16	5.00E-01	H25TOL + 3 PT(S) <=> H25TOL(S) + 3 PT(B)
4.39E-15	4.52E-15	-1.29E-16	4.93E-01	H34TOL + 4 PT(S) <=> H34TOL(S) + 4 PT(B)
