            Fwd_Rate             Rev_Rate             Net_Rate  PEI      Reaction_String
   61.58578914    61.03965388     0.54613526 0.50          (0)(000000)  <=>          (1)(000001)
    0.00017230     0.39854069    -0.39836839 0.50          (0)(000000)  <=>          (4)(000100)
    0.00722467     0.00006000     0.00716466 0.50          (0)(000000)  <=>          (8)(001000)
    0.00005302     0.15498456    -0.15493153 0.50          (0)(000000)  <=>         (32)(100000)
    0.00089855     0.08653096    -0.08563241 0.50          (1)(000001)  <=>          (5)(000101)
    0.15993216     0.00130000     0.15863216 0.50          (1)(000001)  <=>          (9)(001001)
    0.00117380     0.08351938    -0.08234558 0.50          (1)(000001)  <=>         (33)(100001)
    3.51158753     2.95610644     0.55548109 0.50          (1)(000001)  <=>         (34)(100010)
    0.00000000     0.00000000     0.00000000 0.50          (2)(000010)  <=>         (10)(001010)
    0.00000000     0.00000000     0.00000000 0.50          (2)(000010)  <=>         (34)(100010)
    0.00000000     0.00000000     0.00000000 0.50          (3)(000011)  <=>         (11)(001011)
    0.00000000     0.00000000     0.00000000 0.50          (3)(000011)  <=>         (35)(100011)
    0.00330931     0.40718501    -0.40387570 0.50          (4)(000100)  <=>          (5)(000101)
    0.00551018     0.00000264     0.00550754 0.50          (4)(000100)  <=>         (12)(001100)
    0.00004044     0.00004067    -0.00000023 0.50          (4)(000100)  <=>         (36)(100100)
    0.00128469     0.00000004     0.00128465 0.50          (5)(000101)  <=>         (13)(001101)
    0.00000943     0.00000924     0.00000019 0.50          (5)(000101)  <=>         (37)(100101)
    1.02542924     1.51622219    -0.49079295 0.50          (5)(000101)  <=>         (38)(100110)
    0.00000000     0.00000000     0.00000000 0.50          (6)(000110)  <=>         (14)(001110)
    0.00000000     0.00000000     0.00000000 0.50          (6)(000110)  <=>         (38)(100110)
    0.00000000     0.00000000     0.00000000 0.50          (7)(000111)  <=>         (15)(001111)
    0.00000000     0.00000000     0.00000000 0.50          (7)(000111)  <=>         (39)(100111)
   15.84120045    15.36594197     0.47525848 0.50          (8)(001000)  <=>          (9)(001001)
    0.00004432     0.00592017    -0.00587585 0.50          (8)(001000)  <=>         (12)(001100)
    0.00001440     0.00000058     0.00001382 0.50          (8)(001000)  <=>         (16)(010000)
    0.00001364     0.46224542    -0.46223179 0.50          (8)(001000)  <=>         (40)(101000)
    0.00022620     0.00008901     0.00013719 0.50          (9)(001001)  <=>         (13)(001101)
    0.00031200     0.00000000     0.00031200 0.50          (9)(001001)  <=>         (17)(010001)
    0.00029549     0.24597561    -0.24568012 0.50          (9)(001001)  <=>         (41)(101001)
    0.88399666     0.00487508     0.87912158 0.50          (9)(001001)  <=>         (42)(101010)
    0.00000000     0.00000000     0.00000000 0.50         (10)(001010)  <=>         (42)(101010)
    0.00000000     0.00000000     0.00000000 0.50         (11)(001011)  <=>         (43)(101011)
    0.00004916     0.00041886    -0.00036970 0.50         (12)(001100)  <=>         (13)(001101)
    0.00000209     0.00000000     0.00000209 0.50         (12)(001100)  <=>         (20)(010100)
    0.00000060     0.00000130    -0.00000070 0.50         (12)(001100)  <=>         (44)(101100)
    0.00000003     0.00000000     0.00000003 0.50         (13)(001101)  <=>         (21)(010101)
    0.00000001     0.00000010    -0.00000009 0.50         (13)(001101)  <=>         (45)(101101)
    0.00105483     0.00000265     0.00105218 0.50         (13)(001101)  <=>         (46)(101110)
    0.00000000     0.00000000     0.00000000 0.50         (14)(001110)  <=>         (46)(101110)
    0.00000000     0.00000000     0.00000000 0.50         (15)(001111)  <=>         (47)(101111)
  440.74195508   485.89524988   -45.15329479 0.50         (16)(010000)  <=>         (17)(010001)
    1.00298666     3.31156301    -2.30857636 0.50         (16)(010000)  <=>         (20)(010100)
   52.11828312     4.95202904    47.16625408 0.50         (16)(010000)  <=>         (24)(011000)
    5.80419627     5.50856538     0.29563089 0.50         (16)(010000)  <=>         (48)(110000)
    0.00280065     0.06878550    -0.06598486 0.50         (17)(010001)  <=>         (21)(010101)
    0.20900244     0.01736677     0.19163567 0.50         (17)(010001)  <=>         (25)(011001)
    0.02327573     0.02011097     0.00316476 0.50         (17)(010001)  <=>         (49)(110001)
   18.20757478    63.48937315   -45.28179837 0.50         (17)(010001)  <=>         (50)(110010)
    0.00000000     0.00000000     0.00000000 0.50         (18)(010010)  <=>         (26)(011010)
    0.00000000     0.00000000     0.00000000 0.50         (18)(010010)  <=>         (50)(110010)
    0.00000000     0.00000000     0.00000000 0.50         (19)(010011)  <=>         (27)(011011)
    0.00000000     0.00000000     0.00000000 0.50         (19)(010011)  <=>         (51)(110011)
    0.00299094     0.14851595    -0.14552501 0.50         (20)(010100)  <=>         (21)(010101)
