Species_name Phase Surf_cov S1 S2 S3 S4 S5 S6 base
(0)(000000) Surface 0.00002333 0 0 0 0 0 0 1
(1)(000001) Surface 0.00051641 0 0 0 0 0 1 1
(2)(000010) Surface 0.00000000 0 0 0 0 1 0 1
(3)(000011) Surface 0.00000000 0 0 0 0 1 1 1
(4)(000100) Surface 0.00001779 0 0 0 1 0 0 1
(5)(000101) Surface 0.00000415 0 0 0 1 0 1 1
(6)(000110) Surface 0.00000000 0 0 0 1 1 0 1
(7)(000111) Surface 0.00000000 0 0 0 1 1 1 1
(8)(001000) Surface 0.00000600 0 0 1 0 0 0 1
(9)(001001) Surface 0.00013000 0 0 1 0 0 1 1
(10)(001010) Surface 0.00000000 0 0 1 0 1 0 1
(11)(001011) Surface 0.00000000 0 0 1 0 1 1 1
(12)(001100) Surface 0.00000026 0 0 1 1 0 0 1
(13)(001101) Surface 0.00000000 0 0 1 1 0 1 1
(14)(001110) Surface 0.00000000 0 0 1 1 1 0 1
(15)(001111) Surface 0.00000000 0 0 1 1 1 1 1
(16)(010000) Surface 0.16828635 0 1 0 0 0 0 1
(17)(010001) Surface 0.00067485 0 1 0 0 0 1 1
(18)(010010) Surface 0.00000000 0 1 0 0 1 0 1
(19)(010011) Surface 0.00000000 0 1 0 0 1 1 1
(20)(010100) Surface 0.00001133 0 1 0 1 0 0 1
(21)(010101) Surface 0.00000791 0 1 0 1 0 1 1
(22)(010110) Surface 0.00000000 0 1 0 1 1 0 1
(23)(010111) Surface 0.00000000 0 1 0 1 1 1 1
(24)(011000) Surface 0.49520290 0 1 1 0 0 0 1
(25)(011001) Surface 0.00173668 0 1 1 0 0 1 1
(26)(011010) Surface 0.00000000 0 1 1 0 1 0 1
(27)(011011) Surface 0.00000000 0 1 1 0 1 1 1
(28)(011100) Surface 0.00001013 0 1 1 1 0 0 1
(29)(011101) Surface 0.00000041 0 1 1 1 0 1 1
(30)(011110) Surface 0.00000000 0 1 1 1 1 0 1
(31)(011111) Surface 0.00000000 0 1 1 1 1 1 1
(32)(100000) Surface 0.00000003 1 0 0 0 0 0 1
(33)(100001) Surface 0.00000002 1 0 0 0 0 1 1
(34)(100010) Surface 0.01779715 1 0 0 0 1 0 1
(35)(100011) Surface 0.00004950 1 0 0 0 1 1 1
(36)(100100) Surface 0.00000000 1 0 0 1 0 0 1
(37)(100101) Surface 0.00000000 1 0 0 1 0 1 1
(38)(100110) Surface 0.00000632 1 0 0 1 1 0 1
(39)(100111) Surface 0.00000053 1 0 0 1 1 1 1
(40)(101000) Surface 0.00000009 1 0 1 0 0 0 1
(41)(101001) Surface 0.00000005 1 0 1 0 0 1 1
(42)(101010) Surface 0.00002935 1 0 1 0 1 0 1
(43)(101011) Surface 0.00000044 1 0 1 0 1 1 1
(44)(101100) Surface 0.00000000 1 0 1 1 0 0 1
(45)(101101) Surface 0.00000000 1 0 1 1 0 1 1
(46)(101110) Surface 0.00000000 1 0 1 1 1 0 1
(47)(101111) Surface 0.00000000 1 0 1 1 1 1 1
(48)(110000) Surface 0.00022034 1 1 0 0 0 0 1
(49)(110001) Surface 0.00000080 1 1 0 0 0 1 1
(50)(110010) Surface 0.28858806 1 1 0 0 1 0 1
(51)(110011) Surface 0.01880997 1 1 0 0 1 1 1
(52)(110100) Surface 0.00000001 1 1 0 1 0 0 1
(53)(110101) Surface 0.00000001 1 1 0 1 0 1 1
(54)(110110) Surface 0.00630968 1 1 0 1 1 0 1
(55)(110111) Surface 0.00006786 1 1 0 1 1 1 1
(56)(111000) Surface 0.00065735 1 1 1 0 0 0 1
(57)(111001) Surface 0.00000239 1 1 1 0 0 1 1
(58)(111010) Surface 0.00063105 1 1 1 0 1 0 1
(59)(111011) Surface 0.00001582 1 1 1 0 1 1 1
(60)(111100) Surface 0.00000001 1 1 1 1 0 0 1
(61)(111101) Surface 0.00000000 1 1 1 1 0 1 1
(62)(111110) Surface 0.00000405 1 1 1 1 1 0 1
(63)(111111) Surface 0.00000004 1 1 1 1 1 1 1
